address,area,bath,bed,city,description,garage_space,price,property_type,sqft,state,taxes_2015,taxes_2016,taxes_2017,taxes_2018,taxes_2019,year_built,zip
1333 Queens Rd Unit C4,Charlotte,2.5,3,Charlotte,"Opus Myers Park is a condo development created by the Jim Gross Company and located at the iconic intersection of Queens and Providence in the heart of Myers Park. Opus consists of 5 separate steel and concrete buildings offering a total of 24 full floor residences. Spacious open floor plans with 2, 3 or 4 bedrooms and 2.5 or 3.5 baths with private terraces. Premium features include 10 ft ceilings, 8 ft casement windows, a linear gas fireplace, stainless steel appliances, & smart phone home operation. Underground secure parking with elevator access leading directly to your home.",,1495000,Condo/Townhome/Row Home/Co-Op,2820,NC,,,,,,2018,28207
15020 Red Canoe Way,Charlotte,4.5,5,Charlotte,"Upon entering the Nolan, you are greeted by the dining room.. Walk through the foyer and youll find the gathering and breakfast room and Owners Suite located at the back of the home for privacy. The gourmet kitchen features a large island, granite countertops, breakfast bar and stainless-steel appliances. Convenient first floor laundry and a two-car garage complete the first floor. The second-floor features three additional bedrooms a full bathroom and loft. Finished Basement for additional living space complete this Nolan.Every Mattamy home is Energy Star rated which means youll enjoy savings on your homes energy costs. Affordable Southwest Charlotte living adjacent to The Palisades with easy access to Lake Wylie awaits you at Ridgewater, one of Mattamys newest communities. The tranquil wooded location with stunning natural topography creates an urban retreat for homeowners to enjoy. Find everything you need with shopping, entertainment and restaurants at nearby Rivergate shopping center. Discover Mattamys distinctive streetscapes, thoughtful architectural details and superior standard finishes in our Classic Series of Single-Family homes featuring both one and two-story designs. Its Mattamy quality and style at an exceptional price, located in an exceptional area.*Availability, prices, financing promotion and offers subject to change without notice. Square footage is approximate. Please see your New Home Counselor for details.",2,452935,Single Family Home,3944,NC,,,,,54,,28278
11040 Chalkbark Ln,Charlotte,2.5,3,Charlotte,"Upon entering the Rodric, you are greeted by a foyer that leads you into a generously sized gathering room, spacious kitchen and dining room.. The gourmet kitchen boasts an island with breakfast bar, granite countertops, stainless-steel appliances, large pantry area perfect for organization and under stair storage space. The owners suite, two additional bedrooms, loft with option to make into bedroom 4 and laundry room are on the second floor. The Rodric includes a rear load two-car garage and carport. The townhome community of Galloway Park is in the vibrant University City area of Charlotte and offers a range of nearby activities and amenities to fit every lifestyle including the University Research Park, one of the largest research parks in the state, PNC Music Pavilion and the only IKEA in the Carolinas. In addition, the community provides convenient access to UNC Charlotte, uptown Charlotte and a low maintenance lifestyle. Galloway Park offers the Lane and Avenue Series Townhomes with a community Pocket Park, and lawn care included with HOA dues. Its Mattamy quality and style at an exceptional price, located in an exceptional area. *Availability, prices, financing promotion and offers subject to change without notice. Square footage is approximate. Please see your New Home Counselor for details.",2,317493,Condo/Townhome/Row Home/Co-Op,1766,NC,,,,,,,28262
4117 Galloway Park Dr,Charlotte,2.5,3,Charlotte,"Upon entering the Ava, you are greeted by a foyer that leads you into a generously sized gathering room, spacious kitchen and breakfast area.. The gourmet kitchen boasts an island with breakfast bar, granite countertops, stainless-steel appliances, large pantry area perfect for organization and under stair storage space. The owners suite, two additional bedrooms, loft and laundry room are on the second floor. The Ava includes a two-car rear load garage and carport.The townhome community of Galloway Park is in the vibrant University City area of Charlotte and offers a range of nearby activities and amenities to fit every lifestyle including the University Research Park, one of the largest research parks in the state, PNC Music Pavilion and the only IKEA in the Carolinas. In addition, the community provides convenient access to UNC Charlotte, uptown Charlotte and a low maintenance lifestyle. Galloway Park offers the Lane and Avenue Series Townhomes with a community Pocket Park, and lawn care included with HOA dues. Its Mattamy quality and style at an exceptional price, located in an exceptional area. *Availability, prices, financing promotion and offers subject to change without notice. Square footage is approximate. Please see your New Home Counselor for details.",2,300448,Condo/Townhome/Row Home/Co-Op,1558,NC,,,,,,,28262
2136 Carmel Rd,Charlotte,3.5,4,Charlotte,"Beautiful ranch style one level 4bd 3.5ba home fully renovated to modern tastes including Horchow and Restoration Hardware fixtures, granite and marble counter tops, and Electrolux appliances. A Private Studio Office/Bedroom/bathroom is the added bonus this home offers along with all other standard amenities on over 3/4 acre flat lot with beautiful landscaping. Fenced in backyard with a covered pergola, a circular front driveway, rear entry large garage and an additional oversized parking pad. In town luxuries are close-at-hand, Carmel Road Park is a short stroll away, major public and private schools within 5 minute walk. Location, Lot, Curb Appeal!!",2,675000,Single Family Home,2546,NC,5135,5147,5156,5236,5465,1965,28226
4421 Canoebrook Rd,Charlotte,2.5,4,Charlotte,"This immaculately maintained & updated home in the desirable SouthPark neighborhood of Belingrath features beautiful hardwood & parquet flooring, elegant formal rooms, cozy family room with large picture windows overlooking private back yard, updated kitchen with granite & stainless steel, and spacious main level bonus room! Huge screened porch features tile flooring, skylights, ceiling fan, newly roofed & re-screened. Dramatic 2-story foyer, formal living room with French doors to family room, heavy crown molding & chair rail moldings accent the formal dining, spacious bonus room with French door access to screened porch! Generous master bedroom has walk-in closet with wood shelving plus an additional single closet & updated bath. Large walk-in attic storage, 2-car garage with workshop/storage room, & epoxy flooring. Irrigation & security systems, large lot provides sunny play areas as well as wooded natural areas! Minutes to SouthPark Mall, walk to Harris YMCA!",2,675000,Single Family Home,2865,NC,5880,5891,5901,5990,5650,1985,28210
7312 Finnigan Rd,Charlotte,2.5,3,Charlotte,"Flexible floorplan features spacious kitchen with center island and pantry. White kitchen cabinets compliment the granite countertops. Stainless steel smooth top range, microwave and dishwasher are included. Upstairs is the laundry room, hall bath with duel sinks and 2 bedrooms. Completing the upstairs is the owner's suite with vaulted ceiling, bath with duel sinks and 5ft walk in shower and a huge walk in closet featuring 2 windows! Exceptional floorplan in brand new community. Home Is Connected? includes programmable thermostat, Z-Wave door lock and wireless switch, touchscreen control device, automation platform, video doorbell, and Amazon Echo and Echo Dot. All home features are subject to change without notice. Internet service not included. Community will include pool cabana and tot lot.",2,255905,Single Family Home,1854,NC,,,,,,2020,28215
7229 Finnigan Rd,Charlotte,2.5,3,Charlotte,"Stylish white kitchen cabinets compliment the granite countertops. Stainless steel smooth top range, microwave and dishwasher are included. Family room features cozy fireplace with mantle. Upstairs is the laundry room, hall bath and 2 bedrooms. Completing the upstairs is the owner's suite with vaulted ceiling, bath with dual sinks, linen closet and 5ft shower and walk in closet. Exceptional floorplan in brand new community. Home Is Connected? includes programmable thermostat, Z-Wave door lock and wireless switch, touchscreen control device, automation platform, video doorbell, and Amazon Echo and Echo Dot. All home features are subject to change without notice. Internet service not included. Community will include pool , cabana and tot lot. Photos are representative and do not include all features.",1,247990,Single Family Home,1360,NC,,,,,,2020,28215
7024 Royce Ct,Charlotte,2.5,5,Charlotte,"Beautifully maintained traditional two-story in tree-lined neighborhood convenient to shops and dining. Highly rated schools! This home features an open floor plan, handsome moldings, and light, neutral paint throughout. White kitchen with stainless steel appliances and granite countertops. Living room with French doors - would make a nice home office or study. Dining room features heavy crown and picture frame wainscoting. Den has fireplace with gas logs. Upstairs - tons of room to meet your needs. Fabulous owner suite with spacious bedroom, large walk-in closet, en suite bath with garden tub and walk-in tiled shower, PLUS private home office (could also be used as exercise room). Three additional bedrooms plus a fifth bedroom that could also be used as a bonus room. The yard is fenced and beautifully landscaped - excellent curb appeal. Welcome home!",,445000,Single Family Home,2840,NC,3710,3722,3731,3791,3749,1994,28277
2545 Rea Rd,Charlotte,4.5,4,Charlotte,"Nestled in a highly desirable location, this beautiful home has over 4, 000 sq. ft. of space to enjoy. With NO HOA and the ease of having everything you need just minutes away, you don't want to miss this opportunity! The newly carpeted master is situated on the main floor with a large walk-in closet. Each bedroom in the home includes an ensuite. The expansive sunroom overlooks a wonderfully sized backyard, which is accompanied by an outdoor deck. With freshly painted walls, upstairs is ideal for entertaining as the commodious family room boasts a wet bar. Move-in ready with neutral colors, this home has so much to offer!",2,635000,Single Family Home,4096,NC,4377,4388,4398,4467,5196,1999,28226
8953 Bryant Field Cir,Charlotte,2.5,2,Charlotte,"Wonderfully updated 2 bedroom 2.5 bath townhome in Elizabeth Towne complex (Ballantyne). Updates include:-New Paint (2020)-New LVP flooring throughout (2020)-New Carpet (2020)-New Granite and backsplash (2020)-Updated Cabinets (2020)-Newly tiled bathroom showers with glass doors (2020)-New bathroom vanities/lights/flooring (2020)-Brand New SS appliances (2020)-New plumbing fixtures/light fixtures throughout (2020)New custom closets (2020) and New Mudroom (2020) The property is conveniently located to StoneCrest Shopping center, and I-485/I-77. Includes 1 car garage, community Pool and school rankings are 10 out of 10.",1,259900,Condo/Townhome/Row Home/Co-Op,1415,NC,1766,1769,1773,1800,1864,2000,28277
1241 Ashbury St,Charlotte,2.5,3,Charlotte,"Move-in ready Late Nov/Early Dec Delivery!. This end unit townhome with a balcony that offers maintenance free living with the amenities of a single-family home. The lower level floor includes a recreation room and a 2-car rear load garage. On the main level, an enormous kitchen with an island opens onto a bright and airy living room, perfect for entertaining and featuring a conveniently placed powder room. Upstairs are two spacious bedrooms, a hall bath, laundry, and a generous Owners Bedroom that features a tray ceiling and huge walk-in closet. The separate Owners Bath features a dual vanity, shower with dual shower heads, and upgraded tile shower surrounds.Schedule a visit to Riverbend Townhomes to learn more about this quicker move-in home!",2,282990,Condo/Townhome/Row Home/Co-Op,1741,NC,,,,,,,28216
14106 Yachtsman Harbor Dr,Charlotte,0.5,,Charlotte,"VACANT!! Welcome home to Lake Wylie living in this beautiful 2 bed, 2.5 bath townhome with pond views! Gorgeous hardwoods on the main level. Fresh paint throughout and an updated kitchen with granite and SS appliances! Enjoy your amazing front porch and screened porch on the lower level with serene pond view! The Yachtsman is a highly sought-after lakefront complex w/ pool, clubhouse, tennis courts, marina, boat storage area, & beautiful private beach. Don't miss this gorgeous home!",,234900,Condo/Townhome/Row Home/Co-Op,1475,NC,1590,1608,1631,1645,1668,1999,28278
6630 Lyndonville Dr,Charlotte,3,4,Charlotte,"Well maintained brick front 2 story in Hunters Gate!! Walking distance to Blakeney Shopping Center and The Fountains! Hardwoods throughout. Main level bedroom and adjoining updated full bath. Kitchen features refinished cabinets, granite countertops, island and stainless steel appliances. Crown molding in two story foyer and formals. Vaulted ceilings in all upstairs bedrooms. Double vanity, garden tub, separate shower in master bath. Screen porch w/ hot tub and deck. 16' x 32' Inground pool with cover. Fenced yard. Recent updates include new exterior and interior paint, refinished hardwoods, updated first floor full bath, new carpet throughout second floor, pressure washing of pool deck Washer, dryer, pool equipment, hot tub, toolboxes in garage and shelving with paints etc all convey.",2,380000,Single Family Home,2294,NC,3375,3387,3396,3452,3402,1992,28277
5671 Garrow Glen Rd Unit 16,Charlotte,2.5,3,Charlotte,"Welcome to your new Townhome located in the Stonehaven at Berewick subdivision positioned in southwest Charlotte. This vibrant community offers swimming pools, walking trails, green space and even a dog park. As you enter into this townhome you will step into a spacious open floor plan with an over sized luxury kitchen with granite countertops and stainless steel appliances. The primary bedroom is located on the main floor with an oasis master bathroom with plenty of closet space. Head up to the 2nd floor and you will find the loft area with a gas fireplace which makes the perfect space for entertaining or for unwinding after a long day. Two additional bedrooms are located on the 2nd floor with an oversize closet in the bathroom for additional storage space.On days that you want to be outdoors enjoy your patio or walk to the Charlotte Premium Outlet mall and enjoy shopping and dining.This townhome is a must see in a great location which means it will not last long.",1,299000,Condo/Townhome/Row Home/Co-Op,1839,NC,,,,,,2019,28278
9578 Kings Parade Blvd,Charlotte,2.5,3,Charlotte,"BEAUTIFUL TOWNHOME-MOVE IN READY! Great floor plan w/ tons of living space. First floor bonus/family room w/ luxury vinyl flooring , half bath, walk in closet and two car garage. Second level opens to large living room, eat in kitchen with granite, tile back splash, stainless steel appliances including refrigerator ( microwave is a convection oven as well). Gas fireplace in Dining Room/ sitting room. Third floor has Large Master Bedroom with Sitting Area, Walk in Closet, Separate Shower and Tub, laundry and two additional bedrooms.",2,267900,Condo/Townhome/Row Home/Co-Op,2320,NC,1908,1912,1915,1944,2024,2004,28273
908 Cherokee Rd Unit 908,Charlotte,2.5,2,Charlotte,,,350000,Condo/Townhome/Row Home/Co-Op,2144,NC,4587,4598,4608,4680,3722,1974,28207
4221 Melrose Club Dr,Charlotte,2.5,2,Matthews,"This lovely home shows beautifully and has been meticulously maintained. The covered front porch is a cozy and welcoming spot. Upon entry, you will notice how spacious and open this floor plan is. Wood floors in the foyer, kitchen, dining area and powder bathroom. The focal point of the great room is the stunning stone faced fireplace. The fireplace has built-in bookcases on both sides. These provide great storage as well as the perfect spot to display artwork, photos, and more. Recessed lights highlight both the fireplace and both built-ins. The dining area is nestled between the kitchen and great room and is the perfect spot for entertaining family and friends. The kitchen is sunny and efficient and includes a cut out above the sink allowing views to the dining area and great room. Two master bedroom suites upstairs, both with private bathrooms and walk-in closets. Lovely patio outside overlooking manicured green space. Small attached storage area, convenient location. Welcome Home",,175000,Condo/Townhome/Row Home/Co-Op,1180,NC,1212,1224,1233,1260,1339,1999,28105
9817 Emerald Point Dr Unit 10,Charlotte,2,2,Charlotte,"BREATHTAKING VIEWS of Lake Wylie from this WATERFRONT 2BR/2BA condo! NEW windows NEW water heater NEW flooring throughout NEW appliances NEW light fixtures NEW plumbing NEW hardware NEW barn door NEW mirrors in BA's NEW blinds NEW FP mantle NEW wine fridge NEW toilets NEW smart thermostat. This open floor plan is perfect for entertaining. Enjoy sunset views from your private covered porch and the Master Suite! Community features include Pool, Bath House, Boat Dock, Kayak and Paddle Board area. HOA dues include Water & Sewer, Common Area Maintenance, Exterior Building Maintenance, Landscaping and Trash Pick-Up. Enjoy 'resort style living' just minutes from Center City and Charlotte Premier Outlet Mall!",,274900,Condo/Townhome/Row Home/Co-Op,1214,NC,1960,1972,1981,2018,2152,1990,28278
9529 Huntsham Rd,Charlotte,2.5,3,Charlotte,"Home sweet home!! Peaceful, serene & beautifully updated 3 bed/2.5 bath on a private cul-de-sac street. Meticulously maintained, move in ready home with updated kitchen, open floor plan, two story great room, cozy fireplace, and sweeping green views out to private backyard and oversized patio. Master & en suite and updated laundry on the main level, and two additional bedrooms with Jack & Jill bath & extra living/loft space upstairs create a perfect layout. Two car garage with plenty of storage. Updated siding, paint in and out, light fixtures, carpet and vinyl flooring, kitchen cabinets and concrete countertops, backsplash, sinks, fixtures, mirrors, staircase, range/hood, landscaping and more!!! You'll step in and feel right at home. Come on over, this one won't last long!!",2,250000,Single Family Home,1756,NC,10,1524,1533,1564,2102,1989,28227
13510 Misty Dew Ct,Charlotte,2.5,3,Charlotte,"Welcome to this meticulously maintained home! Special features: grand two story foyer, hardwood floors, dining room, two story great room w/ vaulted ceilings, built-in book shelves, gas log fireplace, & lots of natural light! The living room opens into the updated kitchen that features new cabinets, granite countertops, island w/ bar stool seating, storage space, stainless steel appliances, & eating area w/ bay window that overlooks the backyard. The spacious primary bedroom on the main floor features vaulted ceilings & a beautiful ensuite bathroom that features tile floors, separate shower, garden tub, two separate vanities, & walk in closet. Upstairs there is a loft area with built in book shelves & two bedrooms that share a joint bathroom w/ dual vanities. There is a built in murphy bed that will convey. The crawlspace has been encapsulated with a dehumidifier and sump pump. Enjoy time outside on the huge screened in deck w/ vaulted ceilings that overlooks the landscaped backyard!",2,299900,Single Family Home,2100,NC,2283,2294,2304,2344,2561,1997,28273
13826 Porter Creek Rd,Charlotte,2.5,3,Charlotte,"Multiple Offers Received-Please submit best offer by Thursday, Sept 24th at 5PM This stunning home has been meticulously maintained. Freshly painted throughout, it is truly move in ready. The covered entry brings you directly into the foyer, which has room for a drop zone or entry table. The great room is spacious and features a gas log fireplace and plenty of natural light. The great room opens up to the kitchen and breakfast area, providing the perfect space for entertaining. The kitchen has stainless appliances, a pantry, tile backsplash, drop zone and tons of counter space and cabinetry. The refrigerator conveys with the home. The breakfast area is large enough for a full size table and the kitchen cabinetry extends through this area as well. The master bedroom suite is owner's retreat! Loft area w/ closet and secondary bedrooms w/lots of storage. 2-car garage, security system, large yard, washer & dryer convey. Convenient location. Note:Video cameras in use and do not convey.",2,245000,Single Family Home,1886,NC,1618,1637,1659,1674,1836,2013,28262
4220 Houldsworth Dr,Charlotte,2.5,4,Charlotte,"Must see home in Coventry! Great curb appeal w/ covered front porch on large lot! Sought after open floor plan w/ hardwood floors & lots of natural light! Formal dining room is perfect for hosting gatherings. Eat-in kitchen w/ granite counter tops, center island, breakfast bar, pantry & lots of cabinet and counter space. Sunny breakfast area overlooks the backyard! Spacious great room w/ lots of windows & ceiling fan. Elegant owner's retreat w/ tray ceiling, sitting area & walk in closet. En-suite bath w/ dual vanity, glass shower & separate soaking tub. Spacious secondary bedrooms, bathroom & laundry on second floor! Peaceful backyard w/ patio is perfect for grilling & entertaining! Backyard leads out to community soccer field! Community amenities include, clubhouse, swimming pool & playground! Great Charlotte location, close to schools, parks, restaurants & shopping! Minutes to Concord Mills and Charlotte Motor Speedway. Easy access to I-485 & I-85!",2,259900,Single Family Home,2400,NC,1666,1685,1708,1723,2011,2006,28213
8819 Challenger Dr,Charlotte,2.5,4,Charlotte,"Beautiful remodeled 4 bedroom, 2.5 bathroom. Open floor plan home on the cul-de-sac on a large lot. It's close to everything in the University area, UNC Charlotte, CPCC Campus, Concord Mills Mall & more. It has all the features you can ask for, beautiful new kitchen granite counter-tops, new back splash, new kitchen appliances, new light fixtures, new flooring, new carpet, new roof, large walk-in-closet, AC unit still under warranty all appliances including washer and dryer will convey.Seller has received multiple offers in this property. He is requesting all offers be in by 7 pm Tuesday September 22 and will make a decision shortly after. let me know if you have any questions.",,238900,Single Family Home,1933,NC,1652,1664,1673,1706,1967,2001,28213
5630-5632 Stardust Dr,Charlotte,2,4,Charlotte,"Amazing Opportunity to own this updated full brick duplex with positive cash flows, low maintenance and potential rent increase. Located in close proximity to uptown and all eateries and amenities. Recent upgrades include New roof, HVAC's updated in 2015, 2017; Water heater 2016; New windows, Appliances in good condition, new cabinets. Do not disturb tenants. No Sign. Showing during due diligence period.",2,213000,Multi-Family Home,1708,NC,1408,1431,1450,1489,1805,1960,28216
6024 Paw Village Rd,Charlotte,2,4,Charlotte,"Check out this spacious 4 bedroom, 2 full bathroom single-story home! Tons of upgrades such as all newkitchen appliances are included. This home has lots of storage space, an attached 2-car garage and acovered patio. Huge master suite includes a walk-in closet and private bath.",2,239900,Single Family Home,1986,NC,,,,,,2016,28214
2735 Highland Park Dr,Charlotte,2.5,4,Charlotte,"Beautifully renovated 4 bedroom, 2.5 bath home with attached 2-car garage. Modern kitchen with custom painted cabinets, granite countertops, subway tile backsplash & stainless steel appliances. Freshly painted throughout with smooth ceilings. Gray wood-grain tile floors down and in bathrooms; brand new frieze carpet up. Updated lighting & faucet package including remote control ceiling fans in great room, living room and master. Huge master suite with double closets, large garden tub with separate shower & double vanity. Terraced back yard with concrete patio for entertaining. Located at the end of a cul-de-sac. Entrance to greenway which leads to a creek is across the street. Convenient to grocery stores, shopping, restaurants & highways.",2,289900,Single Family Home,2732,NC,1749,1761,1770,1804,2344,2003,28269
13215 Hunting Birds Ln,Charlotte,2.5,3,Charlotte,"Beautiful Move-in Ready 3 Bedroom 2.5 Bath Master on Main home in desirable pool community! This well-maintained one owner 1.5 story home comes equipped with a 3 car garage and manicured yard. Entertain outdoors on your patio and in the open concept kitchen and great room with cozy gas log fireplace. Large eat -in kitchen with upgraded cabinets, SS appliances, edison light fixture, canned lights, sliding glass door to back patio, sink w/ window overlooking backyard.  The charming owner's suite has a garden tub, separate shower, dual vanity, and walk-in closet. Retreat upstairs to the open loft / flex space. Two additional bedrooms upstairs with a full bath with dual vanity. Home has been upgraded with new paint, new flooring, and new carpeting. Home is conveniently located to SC, I-77, I-485 and Steele Creek area. Great shopping and a wide variety of restaurants are only minutes away. Only 20 mins to the CLT airport.",3,289900,Single Family Home,1932,NC,1725,1744,1768,1784,2229,2012,28278
6718 Mallard Park Dr,Charlotte,2,2,Charlotte,"An incredible opportunity to be within minutes from Uptown and UNCC. Master and guest bedroom offer their own private bathrooms and walk in-closets. The main living area boast an open floor plan with vaulted ceilings. Enjoy your morning coffee on your private balcony overlooking mature landscaping. This neighborhood offers a community pool. Schedule your showing today, it won't last long!",1,135000,Condo/Townhome/Row Home/Co-Op,1069,NC,1252,1264,1273,1300,1047,2002,28262
13807 Carleen Way Dr,Charlotte,2.5,3,Charlotte,"Beautiful home in convenient location of Old Stone Crossing, close to I-85 and 485. This community offers a club house, playground, two outdoor pools, and tennis courts. Enter the home to gorgeous hard wood flooring and open floor plan. Huge kitchen with tile flooring, tons of counter/cabinet space, and breakfast seating area. Living room features gas log fireplace. Main level offers formal dining space. Large master bedroom with tray ceilings; master bath features dual sink vanities. Two additional generously sized bedrooms and full bath. Fenced in backyard with patio seating/entertainment area, storage closet and detached, two car garage. New fridge and oven (2019), Dishwasher (2018), Hot water heater (Feb. 2020).",2,230000,Single Family Home,1885,NC,1808,1819,1829,1863,1958,2004,28213
